id,Summary,Milestone,Status,Owner,Type,Priority,Component,Severity,Sponsor,Keywords
28984,Update dir-spec observed bandwidth to 5 days,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,"easy, doc, tor-spec, fast-fix"
28989,test_hs_service: CID 1442277:  Resource leaks  (RESOURCE_LEAK),Tor: 0.4.0.x-final,merge_ready,rl1987,defect,Medium,Core Tor/Tor,Normal,,tor-hs coverity
28992,Bug: ../src/feature/hs/hs_client.c:571: send_introduce1: Non-fatal assertion !(ip == NULL) failed.,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Normal,,tor-hs
28994,Close stdout pipe on error in process_unix_exec (was double closing stdin pipe),Tor: 0.4.0.x-final,merge_ready,,defect,Medium,Core Tor/Tor,Normal,,
29015,Document tor_ersatz_socketpair() and the functions it calls,Tor: 0.4.0.x-final,needs_review,teor,defect,Medium,Core Tor/Tor,Normal,,"ipv6, easy, doc, fast-fix"
29017,PaddingStatistics should be disabled when ExtraInfoStatistics is 0,Tor: 0.4.0.x-final,needs_review,teor,defect,Medium,Core Tor/Tor,Normal,SponsorV-can,"fast-fix, 035-backport, 034-backport, 033-backport"
29018,Make all statistics depend on ExtraInfoStatistics,Tor: 0.4.0.x-final,needs_revision,teor,enhancement,Medium,Core Tor/Tor,Normal,SponsorV-can,"fast-fix, security-low"
29029,"Make ""tried to establish rendezvous on non-OR circuit"" into a protocol warning",Tor: 0.4.0.x-final,needs_review,teor,defect,Medium,Core Tor/Tor,Normal,,"tor-hs, fast-fix, 041-proposed-fast-fix, 040-proposed-fast-fix, 040-backport, 035-backport, 034-backport, 033-backport, 029-backport"
29040,Tor crashes if ClientOnionAuthDir contains more than one private key for a hidden service,Tor: 0.4.0.x-final,new,,defect,Medium,Core Tor/Tor,Major,,"040-proposed, tor-hs, crash, 035-backport"
26698,Authorities should put a hash of the bandwidth file in their votes,Tor: 0.4.0.x-final,needs_review,,enhancement,Low,Core Tor/Tor,Normal,,tor-crypto tor-dirauth tor-bwauth
28913,Base32_decode should return the length of its result.,Tor: 0.4.0.x-final,needs_revision,nickm,defect,Low,Core Tor/Tor,Normal,,util tor-client base32  cleanup technical-debt
28966,HSv3 client auth insufficiently documented (was: HiddenServiceAuthorizeClient incompatible),Tor: 0.4.0.x-final,new,,defect,Low,Core Tor/Tor,Minor,,tor-hs client-auth hsv3
